RF-CAT,SEXO,IDA-MÉD,TC,NC,TO,ME,TURNO,ANO,AE
ND,F,17.0,TÉC,SJ,SUB,P,VES,2017,1
ND,F,22.0,TÉC,PES,SUB,P,VES,2017,0
ND,F,22.0,TÉC,SJ,SUB,P,VES,2017,1
ND,F,22.0,TÉC,SJ,SUB,P,VES,2017,1
ND,F,22.0,TÉC,SJ,SUB,P,NOT,2017,1
ND,F,22.0,TÉC,SJ,SUB,P,NOT,2017,1
ND,F,27.0,TÉC,SJ,SUB,P,VES,2017,1
ND,F,27.0,TÉC,TI,SUB,P,VES,2017,0
ND,F,32.0,TÉC,SJ,SUB,P,NOT,2017,0
ND,F,32.0,TÉC,SJ,SUB,P,NOT,2017,1
ND,F,37.0,TÉC,SJ,SUB,P,NOT,2017,1
ND,M,17.0,TÉC,GT,SUB,P,VES,2017,1
ND,M,17.0,TÉC,SJ,SUB,P,VES,2017,1
ND,M,17.0,TÉC,SJ,SUB,P,VES,2017,1
ND,M,22.0,TÉC,PES,SUB,P,VES,2017,1
ND,M,22.0,TÉC,SJ,SUB,P,NOT,2017,1
ND,M,27.0,TÉC,TI,SUB,P,VES,2017,0
ND,M,27.0,TÉC,TI,SUB,P,VES,2017,0
ND,M,27.0,TÉC,TA,SUB,P,NOT,2017,1
ND,M,32.0,TÉC,SJ,SUB,P,NOT,2017,1
ND,M,32.0,TÉC,TA,SUB,P,NOT,2017,0
ND,M,32.0,TÉC,TA,SUB,P,NOT,2017,0
ND,M,37.0,TÉC,TA,SUB,P,NOT,2017,1
ND,M,37.0,TÉC,TA,SUB,P,NOT,2017,1
ND,M,42.0,TÉC,TI,SUB,P,VES,2017,0
ND,M,52.0,FIC,PEP,CON,P,NOT,2017,1
ND,M,52.0,TÉC,PES,SUB,P,VES,2017,1
ND,M,52.0,TÉC,TI,SUB,P,VES,2017,0
ND,M,52.0,TÉC,TA,SUB,P,NOT,2017,0
"0,5",M,17.0,FIC,DES,CON,P,VES,2017,0
ND,F,17.0,FIC,ADS,CON,P,INT,2017,0
ND,F,17.0,FIC,ADS,CON,P,INT,2017,0
ND,F,17.0,FIC,ADS,CON,P,INT,2017,1
ND,F,17.0,FIC,CTECL,CON,P,INT,2017,0
ND,F,17.0,FIC,CTECL,CON,P,INT,2017,0
ND,F,17.0,FIC,CTECL,CON,P,INT,2017,0
ND,F,17.0,FIC,CTECL,CON,P,INT,2017,0
ND,F,17.0,FIC,CTECL,CON,P,INT,2017,1
ND,F,17.0,FIC,CTECL,CON,P,INT,2017,1
ND,F,22.0,FIC,ADS,CON,P,INT,2017,1
ND,F,22.0,FIC,CTECL,CON,P,INT,2017,0
ND,F,22.0,FIC,CTECL,CON,P,INT,2017,0
ND,F,22.0,FIC,CTUCAL,CON,P,INT,2017,1
ND,F,22.0,FIC,MFC,CON,P,NOT,2017,0
ND,F,22.0,FIC,MFC,CON,P,NOT,2017,1
ND,F,22.0,FIC,DES,CON,P,VES,2017,0
ND,F,27.0,FIC,ADS,CON,P,INT,2017,0
ND,F,27.0,FIC,ADS,CON,P,INT,2017,1
ND,F,27.0,FIC,MFC,CON,P,NOT,2017,1
ND,F,27.0,FIC,POP,CON,P,NOT,2017,0
ND,F,27.0,FIC,DES,CON,P,VES,2017,0
ND,F,27.0,FIC,DES,CON,P,NOT,2017,0
ND,F,27.0,FIC,DES,CON,P,NOT,2017,0
ND,F,27.0,FIC,DES,CON,P,NOT,2017,0
ND,F,32.0,FIC,ADS,CON,P,INT,2017,0
ND,F,32.0,FIC,CTUCAL,CON,P,INT,2017,0
ND,F,32.0,FIC,MFC,CON,P,NOT,2017,0
ND,F,32.0,FIC,DES,CON,P,NOT,2017,0
ND,F,32.0,FIC,DES,CON,P,NOT,2017,0
ND,F,32.0,FIC,DES,CON,P,NOT,2017,1
ND,F,32.0,FIC,DES,CON,P,VES,2017,0
ND,F,32.0,FIC,DES,CON,P,VES,2017,0
ND,F,32.0,FIC,DES,CON,P,VES,2017,0
ND,F,37.0,FIC,ADS,CON,P,INT,2017,0
ND,F,37.0,FIC,MFC,CON,P,NOT,2017,0
ND,F,37.0,FIC,MFC,CON,P,NOT,2017,1
ND,F,37.0,FIC,DES,CON,P,VES,2017,0
ND,F,37.0,FIC,DES,CON,P,VES,2017,0
ND,F,37.0,FIC,DES,CON,P,VES,2017,0
ND,F,42.0,FIC,ADS,CON,P,INT,2017,1
ND,F,42.0,FIC,DES,CON,P,NOT,2017,0
ND,F,42.0,FIC,DES,CON,P,VES,2017,0
ND,F,42.0,FIC,DES,CON,P,VES,2017,0
ND,F,47.0,FIC,ADS,CON,P,INT,2017,0
ND,F,47.0,FIC,ADS,CON,P,INT,2017,0
ND,F,47.0,FIC,PEP,CON,P,NOT,2017,1
ND,F,47.0,FIC,DES,CON,P,NOT,2017,0
ND,F,52.0,TÉC,TA,SUB,P,NOT,2017,0
ND,M,17.0,FIC,ADS,CON,P,INT,2017,0
ND,M,17.0,FIC,CTECL,CON,P,INT,2017,0
ND,M,17.0,FIC,CTECL,CON,P,INT,2017,0
ND,M,17.0,FIC,CTUCAL,CON,P,INT,2017,0
ND,M,17.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,17.0,FIC,MFC,CON,P,NOT,2017,1
ND,M,17.0,FIC,DES,CON,P,NOT,2017,0
ND,M,22.0,FIC,ADS,CON,P,INT,2017,1
ND,M,22.0,FIC,CTECL,CON,P,INT,2017,0
ND,M,22.0,FIC,CTECL,CON,P,INT,2017,0
ND,M,22.0,FIC,CTECL,CON,P,INT,2017,1
ND,M,22.0,FIC,CTECL,CON,P,INT,2017,1
ND,M,22.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,22.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,22.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,22.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,22.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,22.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,22.0,FIC,MFC,CON,P,NOT,2017,0
ND,M,22.0,FIC,MFC,CON,P,NOT,2017,1
ND,M,22.0,FIC,MFC,CON,P,NOT,2017,1
ND,M,22.0,FIC,MFC,CON,P,NOT,2017,1
ND,M,22.0,FIC,POP,CON,P,NOT,2017,0
ND,M,22.0,FIC,POP,CON,P,NOT,2017,1
ND,M,22.0,FIC,POP,CON,P,NOT,2017,1
ND,M,22.0,FIC,DES,CON,P,NOT,2017,0
ND,M,22.0,FIC,DES,CON,P,NOT,2017,0
ND,M,22.0,FIC,DES,CON,P,NOT,2017,0
ND,M,22.0,FIC,DES,CON,P,NOT,2017,1
ND,M,22.0,FIC,DES,CON,P,VES,2017,0
